Make,Model,Year,Review,ratings,date,source,source_url
Toyota,Camry,2025,"I've owned this car for nearly 4 months and initially had no issues. In the past month, I've had numerous issues relating to the electronics and many of the vehicle's features associated with them. Specifically: Dashboard displays blank out or change to other screens without any input from me Lane Departure Assist was deactivated twice and turned itself back On both times, after a period of weeks. I hate this feature and finding it back On............I was not pleased Seat slide and driver's seat programming have stopped functioning, repeatedly While driving on the highway, Cruise Control has turned On without any action on my part. It scared the crap out of me when the vehicle suddenly accelerated in heavy traffic Apple CarPlay keeps disconnecting and I have to reconnect it manually All of my radio presets have erased and had to be reset - which is not easy in this vehicle Frequently, the car does not recognize me as the driver (I think it links with my phone) and thinks I am a guest driver. The last time was when I took it to a carwash and someone else drove it int/out of the tunnel. When I got in it, much of my programming was gone. It has TOO MANY features and they are highly distracting. This is my 3rd Camry. I liked my 2012 XLE Hybrid much better. I wish I'd kept it.",2,10/19/2024,Edmunds,https://www.edmunds.com/toyota/camry/2026/consumer-reviews/?rating=2
Honda ,Civic ,2025,"I purchased a 2025 Civic Sport on 3/29/25 and after one day of driving I’m ready to trade it off. 30k down the drain! My wife & I test drove it locally around the dealership and never took it out on the highway and that’s where we made a huge mistake. MONSTER MISTAKE! Anything over 40 mph and the people in the backseat won’t be able to talk to each other or have a conversation with the people in the front. Anything over 55mph on a concrete highway and you can’t hear the stereo unless it’s at half volume, and forget about having any type of conversation. It’s noisy!! All the previous reviews that complain about the braking and lighting issues are correct. As we left the dealership I about had an accident when the lane assist yanked the steering wheel and I about swerved into a passing car. Super scary and I’m glad my 16yr old daughter wasn’t driving it. I’m 55 and I’ve bought roughly 15 new cars in my time and this is by far the biggest disappointment. I gave it two stars because it looks nicer than the competitors but that’s being generous. It’s prettier than the competitors but drivability and road noise are a serious issue with the 2025 Civic Sport Sedan. ",2,3/30/2025,Edmunds,https://www.edmunds.com/honda/civic/2026/consumer-reviews/?rating=2
Honda ,Civic ,2025,32 mpg and filling up twice on a six hour drive is extremely disappointing. We got 52mpg from our Hyundai Ioniq and filled up once on a 1200 mile drive. The seat heaters are on timers and shut off and there is a subscription to get a garage door opener on this car. The smart cruise control will suddenly slow the car abruptly with no car in front of us. SO much regret selling our Ioniq to our daughter because she needed a reliable car. I would have skipped over this car had I known it was no better than a gas only Elantra. Has good pickup but that’s about the only plus. ,2,12/22/2024,Edmunds,https://www.edmunds.com/honda/civic/2026/consumer-reviews/?rating=3
Honda ,Civic ,2025,"My Civic history goes back 50 years to a new 1976 Hatch CVCC, I also had an '80 and '83 of that generation. New baby, low income at the time, long commute, dependable were key considerations. 40 years go by and I got the next Honda - a 2024 ST Hatch last January after ""growing up"" and selling my Golf ""R"". I was disappointed with the driving dynamic and CVT after the Golf R manual. I tested the ST hybrid in November and was amazed by the difference that 20 hp and 50 lb-ft of torque and the difference in ""transmission"" with the electric motor makes. Amazing! Otherwise its the same great CIvic. Nits are the passenger seat position, stock tires, absence of homelink and SXM. I've adapted and accepted the later two. I'll upgrade the tires after I get a year or so out of them. That will improve handling further and maybe the road noise. Passengers will not notice the seating. I'll get a little towel for lumbar support. I paid sticker for the 2024 ST Hatch - $32,500. I was able to work a negotiated $3,000 off sticker for the hybrid in mid December - at $31,045 this is a steal.",4,1/23/2025,Edmunds,https://www.edmunds.com/honda/civic/2026/consumer-reviews/?rating=4
Ram,1500,2021,"I had a 2015 Outdoorsman with a winch and after market rear bumper. It went 75K miles for me and then finally let me down while towing a 6500 lb travel trailer and it was going to be at least a week or two as no one could figure out what was wrong. Well, they still offered my over 5,000 bucks more than a year ago on a trade and this new one a ""Built to Serve"" edition was sitting there and the final price was right at the one I bought six years ago for financing. So, what has changed in five years? Well they are four inches longer. I didn't know that but do every time I try to park it. There are more bells and whistles for sure. So, here at first what stands out? It is the luxurious feel of this truck. I mean it is so smooth driving it is amazing. It is quiet inside and the dogs love the back with their extra four inches of space with the seats up out of the way. The truck is NOT my daily driver anymore and is mostly dedicated to towing the trailer and going to the transfer station and some light off roading in interesting places here in Montana. It certainly has the equipment to do that so now it is just seeing how it does over time. First impressions are a highly refined but still assuredly a beast. I got it to tow and it has the tow package. THAT I like including the trailer TPMS monitor. The sleeper package I didn't really want was the Ramboxes and the new ""barn door"" tailgate. OK, two weeks into it and I am really starting to like them. The Ramboxes are huge and FOR MY NEEDS, don't get in the way of space in the bed. AND, Going to the transfer station I open the doors and not the ""tail gate"" and can reach everything instead of having to throw half my body on the tail gate to reach stuff. OH, get the premium light package period. The LED headlights are worth their weight in gold compared to the old ones. Make that a must. But if gas mileage is a problem for you? Get a prius. Well, I got rid of the 1500. Not because I had a problem as such, but because it didn't tow my 6700 lb travel trailer as good as I needed. I bought a ""22"" 2500 in the same color and love it. So, IF you do NOT tow over 6000 lbs, I would actually go for a 1500 over a 2500. The Gen 5 1500 in a Bighorn trim and up is essentially a luxury daily driver with some very good capabilities for towing...up to around 6K in perfect comfort. The ride vs a 2500 is amazing. The 2500 is a truck and rides like a truck. It has the luxurious interior but less room in the cab as the dogs will attest to. I loved my 1500's all three of them, but IF you are going to tow and generally go above 6K on your trailer and above 25 feet, you might want to consider a 2500. It is a completely different ""towing"" experience...in a good way. A 2500 will be more ""planted"" and less subject to the wind. A 1500 never lets you forget you are towing...something that big... A 2500 gives you a bit more peace of mind and less stress... But basically, on both of them, I was happy...",4,7/15/2022,Edmunds,https://www.edmunds.com/ram/1500/2021/consumer-reviews/?rating=4
BMW,X5,2026,"I like this car very much. I look forward to driving it and look for excuses to drive around and trips to take. So, let me just focus on the Cons: - The ride is jarring on rough roads. (I do not have the air suspension) Made more so by the run flat tires, which in principle I like. The run flats on a cold day on poorly maintained road is not pleasant. - The wide pillars increase blind spots. But if that is a trade off for safety in a crash, I'll take the wide pillars. - Back seat is comfortable but only adequately spacious. - No reclining rear seats. - Harmon Kardon system is only adequate. - Steering can be a little bit light and disconnected at times in some circumstances. - The single panel info screen looks a little awkward and could be better integrated. I think I prefer the two screen set-up with the ""gauge cluster"" buried in front of the driver. Knowing all this I still chose this car because all of Pros easily outweigh the Cons. The Pros are well covered in all of the rave reviews this machine gets, and I conquer. Note: The ""safety"" features are well integrated and easy to shut off. They stay off too, except for the greatest consumer hoax of all time, the Auto-Start-Stop ""feature"", appropriately, ASS. For this you create a short cut and its as easy to turn off it was with the button. You can no longer ""code"" it out, as in previous models. ",4,3/12/2025,Edmunds,https://www.edmunds.com/bmw/x5/2026/consumer-reviews/?rating=4
BMW,X5,2026,"Took delivery of a 2025 BMW X5 50e (PHEV) in March. Within three weeks an engine light came on ... software upgrade required, no big deal. However, end of June when the summer heat had arrived and charging at 120v starts to become an issue ... it either doesn't charge after being plugged in for 10 + hrs or, it sometimes even negative charges .... starts at 52% charged and next day is at 27%! Several trips to service and not able to diagnose problem, never mind fix it. But, I eventually learn it is a known issue, that may be rectified with a software update, but no software update imminent, but welcome to travel to the dealership for a charge at 240v. Consequently, most of my summer driving on ICE. Checked the chat boards online and learn it has also been a problem with previous model years. Not impressed from a premium brand.",2,8/15/2025,Edmunds,https://www.edmunds.com/bmw/x5/2026/consumer-reviews/?rating=2
BMW,X5,2026,"We’ve had the car now for almost a year. Very pleased with the vehicle, less so with the dealer. No maintenance issues after about five thousand miles. The handling, acceleration, and technology are superb. It takes awhile to learn the tech but that’s true of ALL new vehicles. Most of it is pretty logical. A couple of minor nits: some glare from the driver’s upper air vent reflecting into the side mirror …should use black rather than silver. Too many button pushes instead of knobs for heat and air. Garage door refuses to pair with our opener …had no trouble with 6 other cars. The car DOES run fine on regular and despite the howls from the purists, it states right in the manual that using regular gas WILL NOT hurt the engine. Fuel mileage is outstanding for a vehicle of this weight and performance… I routinely get 28 mpg, even if traffic. Quiet and elegant. The dealership experience, however, both in purchase and in routine service leaves much to be desired. BMW apparently only allows one dealer per midsized city and they can pretty much do as they please regarding add-ons and junk fees. I negotiated to get my price but it wasn’t pleasant. They insisted on 5 star reviews when the delivery for a luxury vehicle was 3.5 stars , maybe. The salesperson was upset when I gave them an honest review. A scheduled routine oil change took nearly 3 hours ! Another 3 star review…no follow up to ask why. I bought a second BMW 9 months later because I was impressed with the car but drove two hours to use a different dealer. Much better treatment. BMW management, are you listening?",5,8/23/2025,Edmunds,https://www.edmunds.com/bmw/x5/2026/consumer-reviews/?rating=5
Hyundai,Tucson,2026,"Due to age and mileage, I needed to replace my wife's Mercedes R500, which has served us very well for dog hauling, long-distance family trips, and daily use over 90K miles, as well as my S430, which has been a great mile-eater but not used enough. With the nearest MB dealer 90 miles away, and the local indie mech crazy busy, changing brands was a necessity. After searching for a replacement for over a year, and driving 20+ cars, the best choice to meet our needs was a 2025 Tucson Hybrid. It finally arrived last week, and the 2-for-1 deal was concluded with no hassle. I'm a car guy, mostly European sports and luxury, and I have to say the the newest Hyundai Tucson is as competent as any MB, Saab or BMW I've owned at a bargain price (for what it offers). Roomy, great seats, beautiful finishes, and so far 40+ MPG. It's quieter than my S-class, as roomy as you can get in such a small footprint, and with tech and customization of features and drive modes as you can get. I hate CVT's - so the 6-speed auto (plus hybrid drive) are great. Selectable regen is a plus (although when the smallish battery is charged it shuts off). The factory tires aren't the best but they do seem to boost mileage - we'll see how they do in snow. Steering is light and precise - and road manners are excellent. Brakes are good. Visibility is excellent. The hybrid's power is good for most situations - zippy around town, and easy passes on the highway. I'm surprised at how much the car drives on electric power alone - with very smooth transition to the gas engine. The new (for 2025) dash and instrument display is elegant and works great. Climate control is solid. We'll have to see how it is after a few months and more miles, but the initial impression it makes couldn't be better.",5,10/18/2024,Edmunds,https://www.edmunds.com/hyundai/tucson/2026/consumer-reviews/?rating=5
Hyundai,Tucson,2026,"Purchased a 2025 Hyundai Tucson hybrid in November 2024. The advertised mileage was 36/37, but after six months of driving we’re getting 26/27 and I’m not a fast driver. That and there are several design problems - the start button is hidden behind the steering wheel, the rear turn signals are a foot off the ground, if we push the button on the rear hatch to close it we have to wait until it’s fully closed before we can get in the car. Otherwise it opens up again and we can’t close it using the button inside the car. Extremely annoying when you’re standing in pouring rain waiting for the hatch to close. We traded in our Subaru Outback, which we loved, and paid extra for this hybrid in order to get better gas mileage. The non-hybrid Outback got better mileage, I’d never buy another Hyundai again.",1,6/9/2025,Edmunds,https://www.edmunds.com/hyundai/tucson/2026/consumer-reviews/?rating=1
Hyundai,Tucson,2026,"Car is pretty good, but electronics are glitchy which is a huge problem for me because I bought the car for the ease of using CarPlay, Google Maps, etc, and often CarPlay glitches out or the screen goes black, and is unresponsive, and I am driving in the middle of a new place and have to pull over or pull out my phone and turn off bluetooth and navigate holding the phone, which is dangerous and stressful. I have spent three months trying to get a dealer to fix this and they seem unable to figure out whether its the ""unit"" or the ""screen"" - apparently they are sold as separate units. So I am still drivind around with glitchy electronics. ",3,12/5/2024,Edmunds,https://www.edmunds.com/hyundai/tucson/2026/consumer-reviews/?rating=3
Toyota,RAV4,2024,"I've only had this vehicle for just over a month. I traded a 2017 Corolla IM with 19,000 miles. The Rav4 drives smooth and quiet. It handles very nicely. I'm older so all the bells and whistles are too much for me. I'm still figuring out what some of these controls are for. Overall, I'm very happy.",5,7/20/2024,Edmunds,https://www.edmunds.com/toyota/rav4/2025/consumer-reviews/?rating=5
Toyota,RAV4,2024,"Love the very impressive gas mileage but that's about it. The seat isn't the most comfortable with the front edge of the drivers seat high and firm for those that drive with their legs extended and there is no way to adjust it lower. If you drive close to the wheel with knees bent, that shouldn't be a problem. The ""lane assist"" must be the worse idea anyone has ever had. Hate having the steering wheel (car) try to take control. The first time it happened was disturbing. It felt like I had to literally fight to control the car where I wanted to go when giving bicycle riders extra room as I passed. Good thing it can be disabled! I found the shifting to be somewhat harsh going into second and third gear when gently accelerating but seems to be improving both on the gentile and more normal accelerations after 850 miles. It rides over bumps and road imperfections more like a truck than a sedan. Road noise was okay but when a rear window is fully opened the interior suffers from a pulsating air compression effect where waves or blasts of air permeate. Very annoying.",3,12/12/2024,Edmunds,https://www.edmunds.com/toyota/rav4/2025/consumer-reviews/?rating=3
Toyota,RAV4,2024,"I got a 2024 RAV4 XLE Premium model, and I’m really disappointed with the vehicle. I expected much better quality from Toyota, especially from the RAV4. First of all, the quality of the interior could be much better. It’s a little noisy, and the assembly feels subpar, like it was put together in a backyard. Secondly, after just 8,000 km, the vehicle started leaking oil from the oil pan. The service technician told me it’s a common issue because Toyota stopped using a gasket on the oil pan and now relies only on silicone sealant. Another frustrating issue is the digital speedometer. I can’t get used to it. When the sun is behind you, it's nearly impossible to see your speed while driving. Lastly, for a vehicle that costs over $50,000, it’s unbelievable that it doesn’t even come with a tire pressure monitoring system. I have to point out that this is in Canada. For the price of the vehicle, you'd think they could include such a basic feature.",2,11/16/2024,Edmunds,https://www.edmunds.com/toyota/rav4/2025/consumer-reviews/?rating=2
Chevrolet,Traverse,2024,"Man, Chevrolet just hit it out of the park with this one. The redesigned 2024 Traverse looks like a truck. Bigger than any other mid-sized SUV, more space compared to all midsize SUVs, best looking mid sized SUV. Everything is grand and big. Very comfortable seats. Engine is 4-cyl with turbo and works adequately. Will make a sound when accelerated or pushed hard but not a deal breaker. The infotainment system/screen and tech is amazing. Rear view camera, park assist, 360 degree camera. Ambient lighting. Mind blown! My first American car after having 4 japanese cars (3 Mazdas and 1 Suzuki) and 1 German (BMW). I am amazed. Hopefully this wont break because I am hearing complaints about failed transmission from some Z71 AWD twin clutch vehicles. I get an average of about 22 in city and 28 on the highways. Wish there was a hybrid option but then I remembered Toyota Grand Highlander has a stop sale on their models. Honda pilot, Kia Telluride and Hyundai Palisade doesn't have as of writing this review in Sep 2024. Mazda CX-90 was my other choice but it has no space in the 3rd row and behind the 3rd row. This traverse a decent sized adult can easily fit in the 3rd row. The steering wheel is so thick and suspension very soft. Comfortable for families who love some flare!",5,9/17/2024,Edmunds,https://www.edmunds.com/chevrolet/traverse/2026/consumer-reviews/?rating=5
Chevrolet,Traverse,2024,Like: 1. Looks 2. Ride and handling 3. Interior design Don Like: 1. Noisy engine 2. Transmission shift pattern 3. Lack of some tech functionality that was expected 4. Paddle shifters that does not function as paddle shifters 5. Higher fuel consumption than second generation,3,9/1/2024,Edmunds,https://www.edmunds.com/chevrolet/traverse/2026/consumer-reviews/?rating=3
Chevrolet,Traverse,2024,"The redesign of this truck is what brought us towards it. Spent an Arm on a 24 RS which we loved for about 3 weeks. After that, where do I even start, I’ve only made 2 payments on this car and it has been nothing short of a nightmare. The transmission blew with only 900 miles on it ruining my driveway. It leaked the entire transmission while parked over night. The car has needed 3 alignments in the 2 months of ownership along with some dealership mistakes with scratches and rim rashes. With 1600 miles on it, supercruise took me off the side of the highway and disengaged almost sending me into the woods at 70 mph. On top of that the car went into break assist merging onto the highway coming to a complete stop from 50 almost causing another major accident. GM has offered me 400 gm points for my inconvenience while having my truck almost have the of the time I’ve owned the car. I would not recommend this car to my worst enemy. Between my family and my wife’s we have owned upwards of 30 gm products which I don’t think I will ever purchase another one after this experience. ",1,1/21/2025,Edmunds,https://www.edmunds.com/chevrolet/traverse/2026/consumer-reviews/?rating=1
Chevrolet,Traverse,2024,"We have just over 2000 miles on our RS, which is our third Traverse. We drove from Illinois to Houston, and I will say that super cruise is one of those things that you didn't you needed until you got it. It makes interstate driving much less tiring and I think safer as it allows you to better monitor what is going on around you. The tech is great. I can just say the destination and away we go, no punching in addresses. My one gripe is the tailgate. The kick was so much better. The new gate is not hands free to close, which is when you really need it. And you need to stay away from the back of the car if you have the key and you don't want the tailgate to open. Also, the driver screen could be better designed. But most importantly the car swallows cargo like nothing else.",5,7/27/2024,Edmunds,https://www.edmunds.com/chevrolet/traverse/2026/consumer-reviews/?rating=5
Chevrolet,Malibu,2023,"I love everything about the vehicle. From the body, to the spaciousness, to the carplay and touchscreen navigation/stereo system with beats brand speakers. Moreover, I love the heated seats, power seats, electric emergency/parking brake, the engine, the smoothness of the ride and how much it saves on gas! Furthermore, I admire the option to take off auto stop, the forward collision option, the lane switch assist option, the backup camera and the way the mirrors tilt themselves when you’re parking to help. The car is overall luxurious as well as safe and saves on gas. Five Stars.",5,1/9/2023,Edmunds,https://www.edmunds.com/chevrolet/malibu/2024/consumer-reviews/?rating=5
Chevrolet,Malibu,2023,"The 1.5T engine has not been updated since the 2016 model year and has the lowest horsepower and worst fuel economy in the midsize sedan class. Additionally, there is no all-wheel drive or a hybrid powertrain option. The interior has not been updated since the 2016 model year and uses low quality materials everywhere. The instrument gauge cluster and A/C controls are severely outdated for a $30k car in 2024. The rear passenger A/C vents do not have USB charging ports, and the wireless phone charger is incompatible with newer phone models. The road and tire noise is excessively loud. The technology is several years behind the competition. LED headlights are only available on the highest trim level. The highest 2LT trim level does not come standard with adaptive cruise control, blind-spot monitoring, or rear cross-traffic alert. Competitors offer these features standard on all trim levels. For the MSRP of $30k, you’re better off buying a Japanese or Korean competitor. The Malibu is a decade old car made for rental agencies.",1,10/8/2024,Edmunds,https://www.edmunds.com/chevrolet/malibu/2024/consumer-reviews/?rating=1
